0.000000e+00 1.000000e+00
5.000000e-02 9.523810e-01
1.000000e-01 9.070295e-01
1.500000e-01 8.638376e-01
2.000000e-01 8.227025e-01
2.500000e-01 7.835262e-01
3.000000e-01 7.462154e-01
3.500000e-01 7.106813e-01
4.000000e-01 6.768394e-01
4.500000e-01 6.446089e-01
5.000000e-01 6.139133e-01
5.500000e-01 5.846793e-01
6.000000e-01 5.568374e-01
6.500000e-01 5.303214e-01
7.000000e-01 5.050680e-01
7.500000e-01 4.810171e-01
8.000000e-01 4.581115e-01
8.500000e-01 4.362967e-01
9.000000e-01 4.155207e-01
9.500000e-01 3.957340e-01
